latitude,longitude,disastertype,population_density,year,adm1,disasterno
19.37046368,73.10086628,flood,590.4663696289062,2016,Maharashtra,2016-0304
31.44114817,76.91980693,extreme temperature ,39.39580154418945,2011,Himachal Pradesh,2011-0007
9.439387677,78.68104303,storm,284.9158630371094,1968,Tamil Nadu,1968-0084
10.65639586,79.22342874,storm,389.1169128417969,1968,Tamil Nadu,1968-0084
16.29023485,80.08194333,storm,369.0785217285156,1969,Andhra Pradesh,1969-0071
16.55006848,80.79256277,storm,933.250732421875,1969,Andhra Pradesh,1969-0071
34.12797077,74.90084917,storm,3002.751220703125,1972,Jammu And Kashmir,1972-0058
27.58774856,94.77483408,flood,295.153076171875,1974,Assam,1974-0129
26.10069773,90.02798848,flood,1293.50390625,1974,Assam,1974-0129
26.79628642,94.27389983,flood,653.9027099609375,1974,Assam,1974-0129
27.58449365,95.62433404,flood,511.1370849609375,1974,Assam,1974-0129
18.57018044,83.97909711,storm,658.5528564453125,1980,Andhra Pradesh,1980-0227
17.88493739,82.68205636,storm,119.07237243652344,1980,Andhra Pradesh,1980-0227
16.88638554,81.39289921,storm,179.0831756591797,1980,Andhra Pradesh,1980-0227
19.62190014,84.65996467,storm,2830.944091796875,1981,Odisha,1981-0206
19.86281434,83.10201833,storm,137.0062713623047,1981,Odisha,1981-0206
20.12313957,84.03927776,storm,46.39994812011719,1981,Odisha,1981-0206
18.8106927,82.70710115,storm,3357.583740234375,1981,Odisha,1981-0206
22.07706596,84.50188835,storm,119.73202514648438,1981,Odisha,1981-0206
20.44239318,85.6982686,storm,566.2169799804688,1984,Odisha,1984-0227
13.45687774,79.00283762,storm,191.88194274902344,1984,Andhra Pradesh,1984-0110
14.43556427,79.72017697,storm,82.7759017944336,1984,Andhra Pradesh,1984-0110
22.55199571,88.35157415,storm,36173.03125,1986,West Bengal,1986-0116
16.29023485,80.08194333,storm,369.0785217285156,1987,Andhra Pradesh,1987-0280
26.11540047,86.01625194,earthquake,1669.0897216796875,1988,Bihar,1988-0382
26.40674188,86.21186545,earthquake,1006.6546630859375,1988,Bihar,1988-0382
25.20892285,86.5265508,earthquake,237.35858154296875,1988,Bihar,1988-0382
25.81718474,86.58260238,earthquake,1935.3480224609375,1988,Bihar,1988-0382
32.80071486,74.73195938,flood,682.567138671875,1990,Jammu And Kashmir,1990-0103
33.88348814,76.47242882,flood,1.2268673181533813,1990,Jammu And Kashmir,1990-0103
16.29023485,80.08194333,storm,369.0785217285156,1990,Andhra Pradesh,1990-0019
16.55006848,80.79256277,storm,933.250732421875,1990,Andhra Pradesh,1990-0019
17.88493739,82.68205636,storm,119.07237243652344,1990,Andhra Pradesh,1990-0019
16.88638554,81.39289921,storm,179.0831756591797,1990,Andhra Pradesh,1990-0019
18.37278299,76.75964617,earthquake,245.841552734375,1993,Maharashtra,1993-0074
18.18785859,76.03986326,earthquake,3704.56689453125,1993,Maharashtra,1993-0074
16.71861838,82.23416181,storm,1351.5457763671875,1993,Puducherry,1993-0085
26.11540047,86.01625194,flood,1669.0897216796875,1996,Bihar,1996-0503
26.29672183,87.93027863,flood,1274.4461669921875,1996,Bihar,1996-0503
25.81718474,86.58260238,flood,1935.3480224609375,1996,Bihar,1996-0503
26.59651346,85.55755515,flood,1804.3485107421875,1996,Bihar,1996-0503
16.8909419,82.19534428,storm,557.7288208007812,1996,Andhra Pradesh,1996-0256
16.88638554,81.39289921,storm,179.0831756591797,1996,Andhra Pradesh,1996-0256
22.72911928,72.20432773,flood,160.67762756347656,1997,Gujarat,1997-0337
24.28099748,72.03809257,flood,450.2253112792969,1997,Gujarat,1997-0337
23.20990618,72.70209791,flood,243.55006408691406,1997,Gujarat,1997-0337
22.8768383,73.02447162,flood,383.25262451171875,1997,Gujarat,1997-0337
23.57969264,72.49688414,flood,336.40997314453125,1997,Gujarat,1997-0337
23.80666439,73.03763379,flood,235.16326904296875,1997,Gujarat,1997-0337
22.76841671,71.60708794,flood,579.1287841796875,1997,Gujarat,1997-0337
22.24629292,73.24968977,flood,600.5062866210938,1997,Gujarat,1997-0337
16.29023485,80.08194333,flood,369.0785217285156,1997,Andhra Pradesh,1997-0357
21.42212608,71.26448769,storm,160.26829528808594,1998,Gujarat,1998-0183
24.28099748,72.03809257,storm,450.2253112792969,1998,Gujarat,1998-0183
25.73003991,71.47894365,storm,198.840576171875,1998,Rajasthan,1998-0183
21.78666651,72.92475605,storm,126.42813873291016,1998,Gujarat,1998-0183
25.0946658,72.21544589,storm,148.750732421875,1998,Rajasthan,1998-0183
22.33618485,70.23238871,storm,70.60787963867188,1998,Gujarat,1998-0183
21.25423825,70.57263302,storm,26.441944122314453,1998,Gujarat,1998-0183
20.81218482,73.10551991,storm,1288.2213134765625,1998,Gujarat,1998-0183
21.63737945,69.80371801,storm,128.3857879638672,1998,Gujarat,1998-0183
22.0149433,70.76149605,storm,156.77395629882812,1998,Gujarat,1998-0183
