tweet_text,class_label
Powerful Ecuador quake kills at least 235: PORTOVIEJO - Rescuers in Ecuador raced to dig out people trapped un,injured_or_dead_people
Im at awe and saddened with the #EcuadorEarthquake Please any donations can help the most unfortunate!,rescue_volunteering_or_donation_effort
RT @RachelAndJun: Our hearts are with everyone in Kumamoto and Ecuador whos been affected by these earthquakes. :( This is has been a terr,sympathy_and_support
RT @noticias2000: Ecuador quake death toll has risen to 233. Correa just confirmed. #pedernales #ecuadorlisto,injured_or_dead_people
RT @pzf: BREAKING PHOTOS: Major damage reported in Ecuador after massive earthquake.,infrastructure_and_utility_damage
"Official death toll now 233, says President Correa of Ecuador. Expect the number to keep rising. #EcuadorEarthquake",injured_or_dead_people
"RT @thejpc: Israeli relief org already in Japan &amp; Ecuador after earthquakes.  And youre not surprise, right? Bravo,",rescue_volunteering_or_donation_effort
RT @SamaritansPurse: We are rushing aid to help #EcuadorEarthquake survivors. See how we are helping here:,rescue_volunteering_or_donation_effort
"RT @GConnaughton: #Toronto &amp; #Canadian first responders amongst first in, in #EquadorEarthquake #relief",rescue_volunteering_or_donation_effort
"#Ecuador #earthquake in #USA, 272 people killed",injured_or_dead_people
RT @ReachOutWW: The impact of yesterdays magnitude 7.8 earthquake that destroyed buildings in Ecuador has become even more,infrastructure_and_utility_damage
"RT @kikakhj: Dear Kunamoto earthquake victims, Wish I could visit there&amp;be of any help,but cant now,feel frustrated&amp;worried. HJ὇D",sympathy_and_support
"Weve raised over $10,000 today from 36 donors. Humbled by the support, which will buy supplies in Quito that",rescue_volunteering_or_donation_effort
"Retweeted Prashant Rao (@prashantrao): A strong earthquake has struck Ecuador, leaving at least 272 people dead",injured_or_dead_people
"RT @Ajit_Dobhal: A Hotel Building In Shambles In Manta Area Of #Ecuador , After Magnitude 7.8 Earthquke Shook The Region #terremoto",infrastructure_and_utility_damage
"RT @UNReliefChief: Concerned for people of #Ecuador affected by #earthquake, @UN is standing by to assist Govt in search &amp; rescue, any othe",rescue_volunteering_or_donation_effort
RT @NicoleMDO: Im raising money for Support Ecuador through SCAD. Click to Donate:  via @gofundme,rescue_volunteering_or_donation_effort
Ecuadors costal región has been extremely affected by last nights earthquake. We need help! #EarthquakeEcuador,requests_or_urgent_needs
"Solidarity in Quito, Ecuador. Families giving donations. #IamwithEcuador #PraywithEcuador #Ecuador",rescue_volunteering_or_donation_effort
Death toll in Ecuador 7.8 earthquake continues to rise. Now at 272 says President Rafael Correa. #SismoEcuador,injured_or_dead_people
@LewisHamilton please!! Ecuador needs international help because the 7.8 earthquake!! Contributions in @cruzrojaecuador,requests_or_urgent_needs
"RT @YahooNews: Death toll from earthquake that struck Ecuador rises to 262, government minister says",injured_or_dead_people
"Lets donate whatever you can to Kumamoto, Japan, and Ecuador. #earthquakerelief",rescue_volunteering_or_donation_effort
RT @Habitat3UN: Our thoughts are with the people of Ecuador and neighbouring countries today in the aftermath of the earthquake #EcuadorEar,sympathy_and_support
238 Dead in Ecuador Earthquake. State of Emergency declared.,injured_or_dead_people
The @CeibaFoundation is collecting donations for #EcuadorEarthquake emergency supplies -,rescue_volunteering_or_donation_effort
RT @SGadiLondon: Our thoughts &amp; prayers are with the people of #Ecuador. We pray for the families of those who lost their lives in the Eart,sympathy_and_support
"RT Lucho_teleSUR: Ecuador continues to experience aftershocks, over 200 according to IGecuador, can really be felt here in coast, was awoke",other_relevant_information
PLEASE DONATE to #EcuadorEarthquake victims. My country needs you!! @TheStruts @UNICEF @UN @UN_Women @taylorswift13 @tokiohotel @TODAYshow,rescue_volunteering_or_donation_effort
Drone Video Captures Deadly Earthquake Aftermath in Ecuador: Drone video captured a collapsed highway overpass,infrastructure_and_utility_damage
RT @NBCLA: Here are ways you can help those affected by the devastating earthquake in #Ecuador this weekend:,rescue_volunteering_or_donation_effort
"Earthquake along Ecuadors central coast takes 241 lives. We in Cuenca felt sharp tremors, no damage. Frayed nerves.",injured_or_dead_people
RT @ydanis: Praying for those impacted by the tragic earthquake in #Ecuador yesterday. Hoping we in NYC can rally to provide aid to those i,sympathy_and_support
@iambeckyg please Ecuador is broken right now if you will help us #PrayForEcuador,requests_or_urgent_needs
RT @mercealvaro: #Ecuador #Quake Death Toll Rises as World Leaders Offer Support  vía @business,injured_or_dead_people
"@nbc Please need help in Ecuador the situation of the country is catastrophic , we need Rescuers please",rescue_volunteering_or_donation_effort
Still cant believe I lived an earthquake. There are almost 233 killed and around 1557 injured. #Ecuador,injured_or_dead_people
RT @RehamKhan1: 235 dead in Ecuador in the strongest earthquake in South America since 1979. Dreadful news.,injured_or_dead_people
RT @SebCevallos: Seeing people from all over the world sending prayers and positive vibes to Ecuador warms my heart! thank you for your con,sympathy_and_support
"RT @Naija_PR: #WePosted Currently, the earthquake has devastated buildings, shops, homes and cars. 2/2 Read More:",infrastructure_and_utility_damage
RT @breakingweather: Death toll continues to climb after 7.8-magnitude quake in Ecuador:,injured_or_dead_people
RT @earthquakesfeed: Top Stories: Ecuador earthquake: Death toll jumps to 238; more than 1500 injured - CNN: CNNEcuador earthquake: http,injured_or_dead_people
Condolences to the loved ones of the victims from the #EcuadorEarthquake.,sympathy_and_support
RT @RipplesNG: 41 feared dead in powerful Ecuador earthquake,injured_or_dead_people
RT @JohnKerry: My heartfelt condolences to victims of earthquake in Ecuador. US stands ready to assist &amp; support Ecuadorian people in this,sympathy_and_support
"sending prayers, and good energy to all the people affected in Ecuador by the earthquake! #PrayForEcuador #SolidaridadEcuador #FuerzaEcuador",sympathy_and_support
RT @debrapalermo: Praying for #Ecuador and #Japan. These recent earthquakes are DEVASTATING &amp; SCARY! ὢ2ὤFἿB #earthquake,sympathy_and_support
RT @CanadianPM: Canada sends its deepest condolences to the loved ones of victims of last nights horrific earthquake in Ecuador.,sympathy_and_support
"RT @FINCA: Our thoughts and prayers are with our clients, staff and the people of #Ecuador following the #EcuadorEarthquake.",sympathy_and_support
"RT @freethechildren: #Ecuador, we are standing with you in this difficult time. Our hearts and thoughts go out to all those affected by the",sympathy_and_support
RT @Diplomacy_Notes: Please help our friends in #Ecuador! Give something for #EcuadorEarthquake! With sympathy @EmbajadaEcuUSA,requests_or_urgent_needs
"RT @RobertGlasserUN: 750,000 #earthquake dead in last 20 years #JapanEarthquake #EcuadorEarthquake #switch2sendai  h",injured_or_dead_people
RT @telesurenglish: Palestine Sends Humanitarian Aid to Ecuador Earthquake Victims,rescue_volunteering_or_donation_effort
"RT @PlanGlobal: At least 272 people confirmed dead &amp; more than 1,500 people injured after this weekends powerful #EcuadorEarthquake :",injured_or_dead_people
"RT @BGEAC: Pray For Ecuador, Relief Efforts After 7.8 Earthquake - asks @Franklin_Graham",sympathy_and_support
RT @Franklin_Graham: .@SamaritansPurse is transporting a portable field hospital to #Ecuador to help treat the many injured. Please pray. h,rescue_volunteering_or_donation_effort
RT @CBSEveningNews: WATCH: 7.8 earthquake rocks Ecuador leaving more than 350 dead &amp; several hundred injured.,injured_or_dead_people
RT @WFP_Media: Loading trucks with @WFP food for the quake-stricken town of #Pedernales in #Ecuador.,rescue_volunteering_or_donation_effort
"RT @alwaleed_philan: Our thoughts are with the people affected by the #JapanEarthquake &amp; #EcuadorEarthquake and the rescue, relief, and med",rescue_volunteering_or_donation_effort
#EcuadorEarthquake #PrayForEcuador If you want to help from abroad here some options.,rescue_volunteering_or_donation_effort
RT @PeaceCorps: All Peace Corps Ecuador Volunteers are safe &amp; accounted for. Staff in Ecuador are in close contact w/ Volunteers regarding,rescue_volunteering_or_donation_effort
"Ecuador earthquake death toll rises to 246; 2,527 injured :  (Andes Info - andesecuador)",injured_or_dead_people
"Really bad earthquake here in Ecuador houses destroyed 77 people died ,magnitude of the earthquake was 7.8 #prayforecuador ὤF἞A἞8❤️",injured_or_dead_people
Earthquake in Ecuador: A rescue operation is underway in Ecuador after the South American nation was hit by it,rescue_volunteering_or_donation_effort
"RT @telesurenglish: Ecuadors biggest earthquake in decades leaves 233 dead, extensive damage to coastal region  htt",injured_or_dead_people
"More pictures of the destruction. Please pray for Ecuador! Also, pray for Joshua and me, we are leaving tonight",sympathy_and_support
RT @lukejoh01158045: First #JapanEarthquake now #EcuadorEarthquake. Pray for all of the suffering victims Especially the ones trapped. htt,sympathy_and_support
"RT: @hannahdreier :Death toll from Ecuador earthquake jumps to 350. In some towns, 90% of buildings collapsed",injured_or_dead_people
RT @WorldVisionLAC: Photos From #Ecuador Show Devastation After The Deadly Earthquake  Vía @HuffingtonPost,infrastructure_and_utility_damage
RT @FOX35Tom: #BREAKING Pics from #Ecuador after massive 7.8 #earthquake hit tonight. RT #FOX35,other_relevant_information
"RT @naranjo_george: Please, all in #Ecuador need your help, #earthquakeEcuador #PrayForEcuador #TerremotoEcuador",sympathy_and_support
Our hearts are with the people of Ecuador,sympathy_and_support
Drone Video Captures Earthquake Aftermath in Ecuador - ABC News -  vía @ABC,other_relevant_information
Praying for all who were affected by the earthquake in Ecuador. #PrayForEcuador #FuerzaEcuador,sympathy_and_support
RT @pzf: UPDATE: At least 350 dead after powerful 7.8 earthquake in Ecuador. Hundreds more injured.,injured_or_dead_people
The best .#Ecuador food Thinking of all our family in Ecuador during this difficult time a,sympathy_and_support
RT @GigiTonguet: @doctorheart00 Share this link to help the victims of Ecuadors Earthquake! Thank you!,rescue_volunteering_or_donation_effort
"RT @OttawaCP: 2 Canadians killed in Ecuador earthquake, Global Affairs confirms",injured_or_dead_people
@channingtatum uve been in my country many times I know u care. Will u please encourage ur followers 2 donate 2 #EcuadorEarthquake victims?,rescue_volunteering_or_donation_effort
"In quake-devastated Ecuador, loss piles up amid the rubble",injured_or_dead_people
"RT @NBCNightlyNews: LATEST: At least 272 killed and 2,000 injured after magnitude 7.8 quake strikes Ecuador.  :",injured_or_dead_people
@tim_cook Make donations to Red Cross Ecuador available through App Store.,rescue_volunteering_or_donation_effort
